round,value,pos,encoding,final_encoding,is_recode,update_start,update_end,updated_rows
1,apple,0,256,256,0,,,0
2,apple,0,128,128,0,,,0
3,apple,2,384,384,0,,,0
4,apple,0,64,64,0,,,0
5,apple,2,192,192,0,,,0
6,apple,0,32,32,0,,,0
7,apple,3,160,160,0,,,0
8,apple,7,448,448,0,,,0
9,apple,7,416,416,0,,,0
10,apple,6,320,320,0,,,0
11,apple,3,144,144,0,,,0
12,apple,1,48,48,0,,,0
13,apple,7,224,224,0,,,0
14,apple,0,16,16,0,,,0
15,apple,14,480,480,0,,,0
16,apple,12,400,400,0,,,0
17,apple,13,408,408,0,,,0
18,apple,0,8,8,0,,,0
19,apple,14,404,404,0,,,0
20,apple,8,176,176,0,,,0
21,apple,7,152,152,0,,,0
22,apple,18,412,412,0,,,0
23,apple,3,40,40,0,,,0
24,apple,10,168,168,0,,,0
25,apple,0,4,4,0,,,0
26,apple,0,2,2,0,,,0
27,apple,0,1,1,0,,,0
28,apple,20,392,392,0,,,0
29,apple,17,240,240,0,,,0
30,apple,0,0,0,1,0,512,29
31,apple,30,503,503,0,,,0
32,apple,24,400,400,0,,,0
33,apple,13,213,213,0,,,0
34,apple,27,417,417,0,,,0
35,apple,1,9,9,0,,,0
36,apple,33,485,485,0,,,0
37,apple,14,209,209,0,,,0
38,apple,28,404,404,0,,,0
39,apple,31,421,421,0,,,0
40,apple,35,468,468,0,,,0
41,apple,14,207,207,0,,,0
42,apple,22,298,298,0,,,0
43,apple,14,206,206,0,,,0
44,apple,43,508,508,0,,,0
45,apple,14,205,205,0,,,0
46,apple,29,366,366,0,,,0
47,apple,18,211,211,0,,,0
48,apple,1,5,5,0,,,0
49,apple,26,294,294,0,,,0
50,apple,35,396,396,0,,,0
51,apple,41,423,423,0,,,0
52,apple,6,60,60,0,,,0
53,apple,11,128,128,0,,,0
54,apple,40,406,406,0,,,0
55,apple,46,434,434,0,,,0
56,apple,55,510,510,0,,,0
57,apple,18,0,144,1,0,512,56
58,apple,7,52,52,0,,,0
59,apple,47,364,364,0,,,0
60,apple,21,156,156,0,,,0
61,apple,57,428,428,0,,,0
62,apple,46,348,348,0,,,0
63,apple,62,480,480,0,,,0
64,apple,54,396,396,0,,,0
65,apple,64,496,496,0,,,0
66,apple,24,172,172,0,,,0
67,apple,38,276,276,0,,,0
68,apple,36,260,260,0,,,0
69,apple,63,430,430,0,,,0
70,apple,64,431,431,0,,,0
71,apple,50,350,350,0,,,0
72,apple,4,28,28,0,,,0
73,apple,61,404,404,0,,,0
74,apple,31,212,212,0,,,0
75,apple,51,346,346,0,,,0
76,apple,53,349,349,0,,,0
77,apple,22,154,154,0,,,0
78,apple,46,300,300,0,,,0
79,apple,70,426,426,0,,,0
80,apple,47,302,302,0,,,0
81,apple,11,68,68,0,,,0
82,apple,56,347,347,0,,,0
83,apple,65,380,380,0,,,0
84,apple,13,76,76,0,,,0
85,apple,20,124,124,0,,,0
86,apple,66,372,372,0,,,0
87,apple,50,301,301,0,,,0
88,apple,47,284,284,0,,,0
89,apple,62,0,310,1,0,512,88
90,apple,3,13,13,0,,,0
91,apple,60,293,293,0,,,0
92,apple,5,18,18,0,,,0
93,apple,39,183,183,0,,,0
94,apple,90,428,428,0,,,0
95,apple,78,368,368,0,,,0
96,apple,75,353,353,0,,,0
97,apple,74,348,348,0,,,0
98,apple,50,233,233,0,,,0
99,apple,82,369,369,0,,,0
100,apple,21,93,93,0,,,0
101,apple,21,92,92,0,,,0
102,apple,64,288,288,0,,,0
103,apple,29,123,123,0,,,0
104,apple,1,3,3,0,,,0
105,apple,98,418,418,0,,,0
106,apple,25,98,98,0,,,0
107,apple,69,292,292,0,,,0
108,apple,70,0,280,1,0,512,104
109,apple,29,114,114,0,,,0
110,apple,51,198,198,0,,,0
111,apple,65,250,250,0,,,0
112,apple,44,170,170,0,,,0
113,apple,108,414,414,0,,,0
114,apple,73,274,274,0,,,0
115,apple,45,171,171,0,,,0
116,apple,58,214,214,0,,,0
117,apple,116,470,470,0,,,0
118,apple,34,130,130,0,,,0
119,apple,84,302,302,0,,,0
120,apple,70,251,251,0,,,0
121,apple,77,273,273,0,,,0
122,apple,93,326,326,0,,,0
123,apple,0,0,0,1,0,512,122
124,apple,49,194,194,0,,,0
125,apple,100,394,394,0,,,0
126,apple,109,426,426,0,,,0
127,apple,105,410,410,0,,,0
128,apple,33,130,130,0,,,0
129,apple,52,198,198,0,,,0
130,apple,109,414,414,0,,,0
131,apple,14,54,54,0,,,0
132,apple,123,458,458,0,,,0
133,apple,93,354,354,0,,,0
134,apple,51,193,193,0,,,0
135,apple,129,470,470,0,,,0
136,apple,105,393,393,0,,,0
137,apple,124,450,450,0,,,0
138,apple,91,342,342,0,,,0
139,apple,106,0,365,1,248,512,71
140,apple,88,310,310,0,,,0
141,apple,0,0,0,1,0,248,66
142,apple,137,451,451,0,,,0
143,apple,138,0,458,1,248,512,54
144,apple,84,295,295,0,,,0
145,apple,117,391,391,0,,,0
146,apple,7,20,20,0,,,0
147,apple,58,170,170,0,,,0
148,apple,45,131,131,0,,,0
149,apple,140,448,448,0,,,0
150,apple,149,491,491,0,,,0
151,apple,46,0,138,1,0,248,65
152,apple,23,68,68,0,,,0
153,apple,141,445,445,0,,,0
154,apple,65,191,191,0,,,0
155,apple,8,23,23,0,,,0
156,apple,18,50,50,0,,,0
157,apple,21,56,56,0,,,0
158,apple,4,11,11,0,,,0
159,apple,115,355,355,0,,,0
160,apple,3,8,8,0,,,0
161,apple,71,0,213,1,0,248,77
162,apple,63,188,188,0,,,0
163,apple,68,200,200,0,,,0
164,apple,28,83,83,0,,,0
165,apple,159,460,460,0,,,0
166,apple,47,137,137,0,,,0
167,apple,88,259,259,0,,,0
168,apple,74,209,209,0,,,0
169,apple,17,50,50,0,,,0
170,apple,42,119,119,0,,,0
171,apple,40,113,113,0,,,0
172,apple,65,179,179,0,,,0
173,apple,135,376,376,0,,,0
174,apple,43,118,118,0,,,0
